,Idrecorrido,Powercod,Rutasalida,Placa,Capacidad,Fechaprogramacion,Horaprogramacion,Ingreso_Salida,Latitud,Longitud
0,3.0,366FA484,Ruta 3 Blas de Lezo,TVB862,22.0,10/11/2023,17:54,ENTRADA,1038849333.0,-7550289667.0
1,3.0,06F16D88,Ruta 3 Blas de Lezo,TVB862,22.0,10/11/2023,17:54,ENTRADA,1038848667.0,-7550302833.0
2,4.0,4AAFF7B0,Ruta 1 Olaya,TVB199,31.0,10/11/2023,18:00,ENTRADA,10406215.0,-7548121833.0
3,3.0,1A547139,Ruta 3 Blas de Lezo,TVB862,22.0,10/11/2023,18:08,ENTRADA,1038059167.0,-7549664833.0
4,4.0,B410935A,Ruta 1 Olaya,TVB199,31.0,10/11/2023,18:09,ENTRADA,1040211.0,-7547338.0
5,4.0,E4CDB75A,Ruta 1 Olaya,TVB199,31.0,10/11/2023,18:13,ENTRADA,1039894667.0,-75469775.0
6,3.0,C28751BE,Ruta 3 Blas de Lezo,TVB862,22.0,10/11/2023,18:23,ENTRADA,10380005.0,-75488755.0
7,3.0,43283AA3,Ruta 3 Blas de Lezo,TVB862,22.0,10/11/2023,18:25,ENTRADA,1037928.0,-7547797.0
8,3.0,5A24E4B0,Ruta 3 Blas de Lezo,TVB862,22.0,10/11/2023,18:29,ENTRADA,1037899833.0,-7547408167.0
9,4.0,535339A3,Ruta 1 Olaya,TVB199,31.0,10/11/2023,18:31,ENTRADA,10405075.0,-7545416.0
10,4.0,D65DA484,Ruta 1 Olaya,TVB199,31.0,10/11/2023,18:37,ENTRADA,1039002167.0,-7544912667.0
11,4.0,44D5D25A,Ruta 1 Olaya,TVB199,31.0,10/11/2023,18:39,ENTRADA,10378745.0,-7545125833.0
12,3.0,1AD7E5B0,Ruta 3 Blas de Lezo,TVB862,22.0,10/11/2023,18:44,ENTRADA,1037591333.0,-7545992.0
13,3.0,137DA4A3,Ruta 3 Blas de Lezo,TVB862,22.0,10/11/2023,18:45,ENTRADA,1037382667.0,-75457685.0
14,6.0,2A65F5B0,Ruta 1 Olaya,TVB199,31.0,10/11/2023,19:06,SALIDA,1033930167.0,-7549294333.0
15,6.0,0A17EDB0,Ruta 1 Olaya,TVB199,31.0,10/11/2023,19:11,SALIDA,1033932833.0,-7549296333.0
16,6.0,C4C5D25A,Ruta 1 Olaya,TVB199,31.0,10/11/2023,19:12,SALIDA,1033930667.0,-7549293833.0
17,6.0,B3353AA3,Ruta 1 Olaya,TVB199,31.0,10/11/2023,19:12,SALIDA,1033930667.0,-7549293833.0
18,6.0,D3D69399,Ruta 1 Olaya,TVB199,31.0,10/11/2023,19:12,SALIDA,1033929333.0,-75492975.0
19,6.0,6628A384,Ruta 1 Olaya,TVB199,31.0,10/11/2023,19:14,SALIDA,1033929333.0,-75492975.0
20,6.0,12C253BE,Ruta 1 Olaya,TVB199,31.0,10/11/2023,19:20,SALIDA,1033934667.0,-7549299667.0
21,6.0,F697B684,Ruta 1 Olaya,TVB199,31.0,10/11/2023,19:20,SALIDA,1033934667.0,-7549299667.0
22,7.0,6A3EE4B0,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,5:58,ENTRADA,1038999333.0,-75493845.0
23,7.0,0488985A,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,5:58,ENTRADA,1038993667.0,-7549390167.0
24,7.0,DA2DE9B0,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,5:59,ENTRADA,1038963333.0,-7549584167.0
25,7.0,DA9D28A5,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:01,ENTRADA,1038845667.0,-75502805.0
26,7.0,7AB3DFB0,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:01,ENTRADA,1038842667.0,-7550296333.0
27,7.0,CAFBECB0,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:02,ENTRADA,1038831833.0,-7550356167.0
28,7.0,AAE37939,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:04,ENTRADA,1038775333.0,-7551158333.0
29,7.0,A6656588,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:11,ENTRADA,1037849.0,-7549908333.0
30,7.0,66686676,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:17,ENTRADA,1037902167.0,-7549003333.0
31,7.0,AAC5E8B0,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:17,ENTRADA,1037907333.0,-7548980333.0
32,7.0,469F6F88,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:19,ENTRADA,1037989833.0,-7548719667.0
33,7.0,2652B784,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:23,ENTRADA,1037960167.0,-75481655.0
34,7.0,B651B184,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:23,ENTRADA,1037960167.0,-75481655.0
35,7.0,9A14EFB0,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,6:29,ENTRADA,1038444333.0,-7546944667.0
36,10.0,93139499,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,7:03,SALIDA,1033921167.0,-75492905.0
37,10.0,C28751BE,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,7:13,SALIDA,1033921167.0,-7549291.0
38,10.0,63143AA3,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,7:40,SALIDA,10379975.0,-75470705.0
39,10.0,5A24E4B0,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,7:41,SALIDA,1037898833.0,-7547407.0
40,10.0,03183AA3,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,7:45,SALIDA,1037936.0,-75479355.0
41,10.0,1A547139,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,7:56,SALIDA,1037815333.0,-7549777333.0
42,8.0,4A2D7B39,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:24,SALIDA,1033944167.0,-7549286167.0
43,8.0,,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:25,SALIDA,1033943333.0,-7549286667.0
44,8.0,BA087B39,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:27,SALIDA,10339265.0,-7549288.0
45,8.0,F4548B5A,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:27,SALIDA,1033941333.0,-75492905.0
46,8.0,8A3EF8B0,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:28,SALIDA,1033937167.0,-75492925.0
47,8.0,D4A4995A,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:28,SALIDA,10339365.0,-7549287667.0
48,8.0,7A2B7A39,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:29,SALIDA,10339365.0,-7549287667.0
49,8.0,0488985A,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:30,SALIDA,10339365.0,-7549287667.0
50,8.0,CAFBECB0,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:30,SALIDA,10339365.0,-7549287667.0
51,8.0,DA77F5B0,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:30,SALIDA,10339365.0,-7549287667.0
52,8.0,04DAB85A,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:32,SALIDA,1033936333.0,-75492865.0
53,8.0,4A25F6B0,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:32,SALIDA,1033936333.0,-75492865.0
54,8.0,6421995A,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:32,SALIDA,1033929667.0,-7549292167.0
55,8.0,F3C66C8F,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/12/2023,16:33,SALIDA,1033929167.0,-7549291333.0
56,44.0,366FA484,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,17:51,ENTRADA,1038854167.0,-7550272333.0
57,44.0,220C51BE,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,17:54,ENTRADA,10388985.0,-7551456333.0
58,45.0,D3D69399,Ruta 1 Olaya,TVB199,31.0,10/12/2023,17:56,ENTRADA,10407.0,-7549274167.0
59,44.0,73A4A3A3,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,17:58,ENTRADA,1038497833.0,-75506905.0
60,1.0,DAC3E8B0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,18:01,ENTRADA,1040682.0,-755056.0
61,44.0,C398A092,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,18:09,ENTRADA,10378145.0,-7549778667.0
62,1.0,F24951BE,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,18:13,ENTRADA,1040564667.0,-75500515.0
63,45.0,E4CDB75A,Ruta 1 Olaya,TVB199,31.0,10/12/2023,18:16,ENTRADA,10398955.0,-7546981167.0
